user_id,first_story_timestamp,first_comment_timestamp,first_seen,story_count,comment_count,event_count
rugai,,2018-12-01 04:23:11.000000 UTC,2018-12-01 04:23:11.000000 UTC,,1,1
slile,,2011-02-16 19:28:20.000000 UTC,2011-02-16 19:28:20.000000 UTC,,1,1
trosc,,2013-11-27 20:40:46.000000 UTC,2013-11-27 20:40:46.000000 UTC,,1,1
tykko,,2013-02-24 10:52:34.000000 UTC,2013-02-24 10:52:34.000000 UTC,,1,1
v1r3n,,2013-04-25 23:53:37.000000 UTC,2013-04-25 23:53:37.000000 UTC,,1,1
vinch,2012-04-04 01:19:55.000000 UTC,2017-10-29 11:04:46.000000 UTC,2012-04-04 01:19:55.000000 UTC,2,1,3
whamo,,2010-03-18 18:26:25.000000 UTC,2010-03-18 18:26:25.000000 UTC,,1,1
yrral,,2010-06-04 09:16:08.000000 UTC,2010-06-04 09:16:08.000000 UTC,,108,108
zxexz,2014-02-25 17:50:00.000000 UTC,2014-02-27 06:45:27.000000 UTC,2014-02-25 17:50:00.000000 UTC,21,219,240
3gp4g4,,2017-04-03 15:45:12.000000 UTC,2017-04-03 15:45:12.000000 UTC,,1,1
Action,,2009-08-20 12:50:16.000000 UTC,2009-08-20 12:50:16.000000 UTC,,1,1
Happos,,2022-08-29 07:26:24.000000 UTC,2022-08-29 07:26:24.000000 UTC,,8,8
Joller,,2018-09-18 20:37:55.000000 UTC,2018-09-18 20:37:55.000000 UTC,,1,1
PyDude,,2020-11-13 08:58:26.000000 UTC,2020-11-13 08:58:26.000000 UTC,,1,1
Sayter,2011-06-15 10:38:31.000000 UTC,2010-10-15 15:18:49.000000 UTC,2010-10-15 15:18:49.000000 UTC,1,52,53
TheLML,,2013-11-29 11:29:25.000000 UTC,2013-11-29 11:29:25.000000 UTC,,17,17
Zinc64,,2017-06-14 22:31:08.000000 UTC,2017-06-14 22:31:08.000000 UTC,,1,1
adamrg,,2012-01-13 11:17:31.000000 UTC,2012-01-13 11:17:31.000000 UTC,,2,2
adi18g,,2019-04-23 04:04:42.000000 UTC,2019-04-23 04:04:42.000000 UTC,,2,2
av2297,2022-10-13 22:42:21.000000 UTC,2022-10-14 07:40:30.000000 UTC,2022-10-13 22:42:21.000000 UTC,1,1,2
axljjn,2021-04-19 05:43:41.000000 UTC,2020-12-29 14:44:45.000000 UTC,2020-12-29 14:44:45.000000 UTC,3,40,43
baltoo,2008-10-27 14:22:32.000000 UTC,2008-04-25 21:02:24.000000 UTC,2008-04-25 21:02:24.000000 UTC,2,47,49
bholdr,2015-04-11 01:55:25.000000 UTC,2015-09-16 01:50:15.000000 UTC,2015-04-11 01:55:25.000000 UTC,42,27,69
blogle,2018-11-15 19:43:28.000000 UTC,2015-02-07 18:57:44.000000 UTC,2015-02-07 18:57:44.000000 UTC,2,5,7
bmo311,,2016-07-27 16:29:51.000000 UTC,2016-07-27 16:29:51.000000 UTC,,1,1
caeril,2020-08-26 20:59:37.000000 UTC,2020-08-13 15:48:07.000000 UTC,2020-08-13 15:48:07.000000 UTC,2,479,481
catach,,2017-10-31 17:21:43.000000 UTC,2017-10-31 17:21:43.000000 UTC,,226,226
cbnits,2018-07-07 18:34:15.000000 UTC,2018-07-07 18:47:19.000000 UTC,2018-07-07 18:34:15.000000 UTC,3,4,7
coders,2010-02-26 15:17:05.000000 UTC,2011-07-03 14:58:54.000000 UTC,2010-02-26 15:17:05.000000 UTC,13,17,30
dan33l,,2021-02-24 10:56:36.000000 UTC,2021-02-24 10:56:36.000000 UTC,,1,1
danjme,,2012-03-30 13:08:24.000000 UTC,2012-03-30 13:08:24.000000 UTC,,2,2
davorb,2012-01-22 12:06:44.000000 UTC,2011-11-30 20:02:06.000000 UTC,2011-11-30 20:02:06.000000 UTC,6,146,152
dcsoft,,2016-08-01 11:13:47.000000 UTC,2016-08-01 11:13:47.000000 UTC,,1,1
derzik,,2019-03-19 12:43:18.000000 UTC,2019-03-19 12:43:18.000000 UTC,,2,2
dobeos,,2017-04-18 22:31:41.000000 UTC,2017-04-18 22:31:41.000000 UTC,,1,1
dpatac,,2013-07-24 15:51:14.000000 UTC,2013-07-24 15:51:14.000000 UTC,,6,6
dripiv,,2021-04-01 10:37:26.000000 UTC,2021-04-01 10:37:26.000000 UTC,,4,4
drooby,2021-03-27 14:26:31.000000 UTC,2021-03-08 12:47:49.000000 UTC,2021-03-08 12:47:49.000000 UTC,9,172,181
einjen,,2013-03-19 17:28:00.000000 UTC,2013-03-19 17:28:00.000000 UTC,,1,1
emtoor,,2019-08-08 22:16:54.000000 UTC,2019-08-08 22:16:54.000000 UTC,,2,2
europr,,2020-01-26 16:16:08.000000 UTC,2020-01-26 16:16:08.000000 UTC,,1,1
farmin,,2021-11-05 20:36:04.000000 UTC,2021-11-05 20:36:04.000000 UTC,,76,76
fdom88,2019-01-28 15:59:51.000000 UTC,2019-02-01 17:50:33.000000 UTC,2019-01-28 15:59:51.000000 UTC,1,2,3
finmin,,2018-07-26 11:15:32.000000 UTC,2018-07-26 11:15:32.000000 UTC,,4,4
folnop,2013-06-15 01:17:08.000000 UTC,2013-06-15 03:53:15.000000 UTC,2013-06-15 01:17:08.000000 UTC,2,1,3
frywhy,,2015-05-27 08:56:42.000000 UTC,2015-05-27 08:56:42.000000 UTC,,2,2
galosh,2022-02-03 19:34:29.000000 UTC,2022-01-24 16:34:49.000000 UTC,2022-01-24 16:34:49.000000 UTC,1,16,17
gypsim,,2019-02-03 18:36:31.000000 UTC,2019-02-03 18:36:31.000000 UTC,,1,1
herova,,2018-09-17 19:48:58.000000 UTC,2018-09-17 19:48:58.000000 UTC,,17,17
hnbits,,2018-04-17 04:15:43.000000 UTC,2018-04-17 04:15:43.000000 UTC,,2,2
houfro,,2013-12-06 06:02:08.000000 UTC,2013-12-06 06:02:08.000000 UTC,,1,1
jaynow,,2012-01-26 13:08:28.000000 UTC,2012-01-26 13:08:28.000000 UTC,,1,1
jechen,2013-06-15 06:43:29.000000 UTC,2011-07-05 03:35:41.000000 UTC,2011-07-05 03:35:41.000000 UTC,1,45,46
jmh530,,2017-08-23 20:03:05.000000 UTC,2017-08-23 20:03:05.000000 UTC,,50,50
jortrp,,2013-01-15 06:12:45.000000 UTC,2013-01-15 06:12:45.000000 UTC,,4,4
jrwren,,2013-11-10 15:52:25.000000 UTC,2013-11-10 15:52:25.000000 UTC,,2,2
kali46,,2017-08-12 14:49:33.000000 UTC,2017-08-12 14:49:33.000000 UTC,,2,2
kaygun,,2014-09-12 11:14:32.000000 UTC,2014-09-12 11:14:32.000000 UTC,,1,1
khyryk,2014-05-13 22:37:30.000000 UTC,2012-02-05 00:50:11.000000 UTC,2012-02-05 00:50:11.000000 UTC,3,196,199
kkotak,2013-05-16 06:46:35.000000 UTC,2012-08-01 14:59:45.000000 UTC,2012-08-01 14:59:45.000000 UTC,7,175,182
labuan,,2015-08-01 09:33:22.000000 UTC,2015-08-01 09:33:22.000000 UTC,,1,1
lausek,2022-01-15 14:28:07.000000 UTC,2022-04-07 20:23:18.000000 UTC,2022-01-15 14:28:07.000000 UTC,1,2,3
lolusa,,2020-04-17 07:21:06.000000 UTC,2020-04-17 07:21:06.000000 UTC,,1,1
martro,,2022-01-29 18:33:30.000000 UTC,2022-01-29 18:33:30.000000 UTC,,1,1
